iter	Logloss
0	0.6450558958
1	0.6015888004
2	0.5755162726
3	0.5618656972
4	0.5464936795
5	0.5344945907
6	0.5293928477
7	0.5194725677
8	0.5156031394
9	0.5102182186
10	0.5027314041
11	0.4982872541
12	0.4965900469
13	0.494121016
14	0.4916846361
15	0.4887166919
16	0.4876033343
17	0.4866000394
18	0.485238278
19	0.483993698
20	0.4824427494
21	0.4809385725
22	0.4774039001
23	0.4759185104
24	0.475107483
25	0.4741189251
26	0.4732804942
27	0.4712566555
28	0.4710051265
29	0.4701020508
30	0.4693200853
31	0.4688482004
32	0.4682689502
33	0.4675708854
34	0.4667713657
35	0.4663205029
36	0.4634875232
37	0.4625154415
38	0.4618778101
39	0.4612004514
40	0.4605205527
41	0.4598509545
42	0.4596185907
43	0.459364065
44	0.4588772177
45	0.4587222556
46	0.4582138253
47	0.4579373697
48	0.4576379879
49	0.4570901969
50	0.4568326533
51	0.4565650134
52	0.4559835135
53	0.4554017985
54	0.4551383577
55	0.454748265
56	0.4543126614
57	0.4540682231
58	0.4536279205
59	0.4531787373
60	0.4517171841
61	0.4510997898
62	0.4509299707
63	0.4506776285
64	0.4501282942
65	0.4498235887
66	0.449515409
67	0.4491636749
68	0.4487248047
69	0.4481275748
70	0.4473065436
71	0.4468761608
72	0.4464820555
73	0.4462007626
74	0.4459254838
75	0.4445364458
76	0.4438628225
77	0.4421130893
78	0.4417340865
79	0.4414682935
80	0.4410962383
81	0.4406421433
82	0.4394210019
83	0.4390442752
84	0.4386049054
85	0.4383382441
86	0.4379897512
87	0.4375709282
88	0.4372806757
89	0.4369083582
90	0.4359840218
91	0.435339059
92	0.4350032884
93	0.4345923499
94	0.4343052993
95	0.4335056103
96	0.4329023567
97	0.4325434936
98	0.4319900607
99	0.4316886108
