iter	Passed	Remaining
0	2	252
1	5	255
2	7	254
3	10	263
4	14	268
5	16	265
6	19	261
7	22	255
8	25	255
9	28	255
10	31	255
11	34	254
12	37	252
13	40	249
14	44	249
15	47	247
16	50	244
17	52	239
18	54	234
19	58	234
20	61	230
21	64	228
22	67	224
23	69	219
24	71	215
25	74	213
26	77	209
27	80	205
28	82	202
29	85	198
30	87	194
31	90	192
32	93	189
33	95	186
34	98	182
35	100	179
36	103	175
37	105	172
38	108	169
39	110	166
40	113	163
41	116	160
42	118	157
43	121	154
44	124	152
45	127	149
46	129	146
47	132	143
48	135	140
49	138	138
50	140	135
51	143	132
52	145	129
53	148	126
54	151	123
55	153	120
56	156	117
57	158	115
58	161	112
59	164	109
60	166	106
61	169	103
62	172	101
63	175	98
64	177	95
65	181	93
66	184	90
67	187	88
68	189	85
69	192	82
70	194	79
71	197	76
72	200	74
73	203	71
74	206	68
75	208	65
76	211	63
77	215	60
78	218	57
79	220	55
80	223	52
81	226	49
82	228	46
83	232	44
84	234	41
85	237	38
86	240	35
87	242	33
88	245	30
89	248	27
90	250	24
91	253	22
92	256	19
93	258	16
94	260	13
95	264	11
96	266	8
97	268	5
98	271	2
99	274	0
